表2 GXXX0101 学校基本数据子类表 
表117 GXKY0307 专利成果基本数据子类表 
表118 GXKY0308 专利出售子类表 
表119 GXKY0309 技术转让基本数据子类表 
表120 GXKY0310 获奖成果基本数据子类表 
表121 GXKY0311 计算机软件著作权子类 
表122 GXKY0401 学术会议子类表 
表123 GXKY0402 派出人员子类表 
表124 GXKY0403 接受人员子类表 
表125 GXCW01 账务管理数据类表 
表126 GXCW0201 凭证类型子类表 
表127 GXCW0202 凭证数据子类表 
表128 GXCW0203 凭证编号子类表 
表129 GXCW0204 科目余额子类表 
表130 GXCW0301项目基本数据子类表 
表131 GXCW0302 项目经费来源子类表 
表132 GXCW0303 项目余额子类表 
表133 GXCW0401 暂存款子类表 
表134 GXCW0402 暂借款子类表 
表135 GXCW0501 工资明细子类表 
表136 GXCW0502 工资总额子类表 
表137 GXCW0503 教职工劳务补贴子类表 
表138 GXCW0504 税率登记子类表 
表139 GXCW0505 教职工缴税子类表 
表140 GXCW0601 学生应收明细子类表 
表141 GXCW0602 学生应收合计子类表 
表142 GXCW0603 收费项目子类表 
表143 GXCW0604 学生欠费子类表 
表144 GXCW0605 学生发放款项子类表 
表145 GXCW0701 票据管理子类表 
表146 GXCW0702 标题管理子类表 
表147 GXZC01 学校用地数据类表 
表148 GXZC0202 建筑物房间子类表 
表149 GXZC0203 建筑物修缮子类表 
表150 GXZC0401 实验室基本数据子类表 
表151 GXZC0402 实验室运行子类表 
表152 GXZC0403 实验室人员子类表 
表153 GXZC0404 实验室评估子类表 
表154 GXZC0504 精密贵重仪器设备使用子类表 
表155 GXZC0505 仪器设备维修子类表 
表156 GXBG0101 公文基础数据子类表 
表157 GXBG0102 公文附件子类表 
表158 GXBG0201 公文接收处理子类表
表159 GXBG0202 收文阅办子类表 
表160 GXBG0301 发文处理子类表 
表161 GXBG0302 核稿子类表 
表162 GXBG0303 会签子表 
表163 GXBG0304 呈批子类表 
表164 GXBG0401 文件清退子类表 
表165 GXBG0402 文件销毁子类表 
表166 GXBG0403 文件借阅子类表 
表167 GXBG05 文件归档数据类表 
表168 GXBG0601 信息发布子类表 
表169 GXBG0602 栏目管理子类表 
表170 GXBG0701 会议议题子类表 
表171 GXBG0702 会议子类表 
表172 GXBG0703 会议室子类表 
表173 GXBG0704 会议室安排子类表 
表174 GXBG0705 会议纪要子类表 
表175 GXBG0801 制章子类表 
表176 GXBG0802 用印子类表 
表177 GXBG0901 日程子类表 
表178 GXBG0902 用车子类表 
表179 GXBG0903 电话簿子类表 
表180 GXBG0904 信访子类表 
表181 GXWS01 国（境）外院校及机构单位数据类表
表182 GXWS0201 来华留学生基本数据子类表
表183 GXWS0202 入学成绩子类表
表184 GXWS0203 收费明细子类表
表185 GXWS0204 突发事件信息子类表
表186 GXWS0205 奖学金信息子类表
表187 GXWS0206 保险信息子类表
表188 GXWS0207 住宿信息子类表
表189 GXWS0301 出国（境）留学工作人员基本数据子类表
表190 GXWS0303 留学经历数据子类表
表191 GXWS0305 前往国家地区子类表
表192 GXWS0401 来访代表团子类表
表193 GXWS0402 来访代表团成员子类表
表194 GXWS0403 来访代表团日程安排子类表
表195 GXWS0404 来访代表团接待计划子类表
表196 GXWS0405 来访代表团接待人员子类表
表197 GXWS0406 来访交流人员子类表
表198 GXWS0407 来访交流人员随行人员子类表
表199 GXWS0501 出访代表团子类表
表200 GXWS0502 出访代表团成员子类表
表201 GXWS0601 外籍专家基本信息子类表
表202 GXWS0602 外籍专家不良记录子类表
表203 GXWS0603 外籍专家获奖信息子类表
表204 GXWS0604 外籍专家教育经历子类表
表205 GXWS0605 专家随行人员子类表 
表206 GXWS0606 专家讲学授课子类表
表207 GXWS0701 交流、合作协议信息子类表
表208 GXWS0702 协议备忘录信息子类表
表209 GXWS0703 国际会议子类表
表210 GXWS0704 授予荣誉子类表
表211 GXWS0705 国（境）外奖学教学金统计子类表
表212 GXWS0706 合作项目子类表
表213 GXWS0801 护照证件基本信息管理子类表
表214 GXWS0802 护照证件存取管理子类表
表215 GXWS0803 签证（注）基本信息管理子类表
表216 GXWS09 国（境）外人员证照变更子类表
表217 GXDA0101 档案机构子类表 
表218 GXDA0102 全宗子类表 
表219 GXDA0103 立档单位子类表 
表220 GXDA0104 案卷子类表 
表221 GXDA0105 文件子类表 
表222 GXDA0106 文档子类表 
表223 GXDA0201 人员信息子类表 
表224 GXDA0202 机构信息子类表 
表225 GXDA03 业务实体类表 
表226 GXDA0401 实体关系子类表 
表227 GXDA0402 编研关系子类表 
表228 GXGZ0101 办学条件子类表 
表229 GXGZ0102 产学合作子类表 
表230 GXGZ0201 重点专业情况子类表 
表231 GXGZ0202 课程建设子类 
表232 GXGZ0203 校外课程成绩转换子类表 
表233 GXGZ0301 教师下企业实践锻炼数据子类 
表234 GXGZ0401 实训室基本数据子类表 
表235 GXGZ0402 实训单元子类表 
表236 GXGZ0403 校外实训基地子类表 
表237 GXGZ0404 实训室运行子类表 
表238 GXGZ0405 实训室人员子类表 
表239 GXGZ0406 实训项目子类表 
表240 GXGZ0407 顶岗实习子类表 
表241 GXGZ0501 校内职业培训与技能鉴定机构子类表 
表242 GXGZ0502 技能鉴定子类表 
